id_municipio,nome_municipio,capital,regiao_metropolitana,sigla_uf,nome_uf,domicilios,populacao,area,taxa_alfabetizacao,idade_mediana,razao_sexo,indice_envelhecimento,populacao_indigena,populacao_indigena_terra_indigena,populacao_quilombola,populacao_quilombola_territorio_quilombola
2104552,Governador Edison Lobão,0,Região Metropolitana do Sudoeste Maranhense,MA,Maranhão,5953,18279,616,84.587,29,102.61,32.57,24,0,0,0
2107357,Nova Olinda do Maranhão,0,,MA,Maranhão,4297,14307,2453,78.666,29,98.15,36.03,364,336,167,0
2107258,Nova Colinas,0,,MA,Maranhão,1473,5015,743,82.326,29,110.26,36.23,8,0,0,0
2102101,Brejo,0,,MA,Maranhão,9644,34096,1073,76.817,29,100.91,37.5,67,0,6045,535
2108801,Pirapemas,0,,MA,Maranhão,5240,17711,689,7.646,29,99.41,32.72,5,0,1419,0
2112803,Viana,0,,MA,Maranhão,15784,51314,1167,86.214,29,97.8,33.44,1819,0,9926,2265
2103752,Davinópolis,0,Região Metropolitana do Sudoeste Maranhense,MA,Maranhão,4568,14274,332,85.737,29,101.79,34.33,19,0,0,0
2104073,Feira Nova do Maranhão,0,,MA,Maranhão,2484,8048,1626,83.939,29,109.15,40.05,1,0,0,0
2109239,Presidente Médici,0,,MA,Maranhão,1386,4687,438,81.202,29,100.17,39.2,21,0,1,0
2104107,Fortaleza dos Nogueiras,0,,MA,Maranhão,3902,12618,1853,89.057,29,102.53,34.01,7,0,0,0
2111573,São Pedro dos Crentes,0,,MA,Maranhão,1709,5777,980,91.067,29,111.44,31.01,0,0,0,0
2109759,Santa Filomena do Maranhão,0,,MA,Maranhão,2001,6695,623,76.394,29,109.09,33.63,0,0,0,0
3145208,Nova Serrana,0,,MG,Minas Gerais,36992,105286,282,96.254,29,99.58,21.15,87,0,35,0
3171030,Verdelândia,0,,MG,Minas Gerais,2516,7646,1571,83.101,29,103.93,32.14,18,0,623,61
3170529,Urucuia,0,,MG,Minas Gerais,4173,17464,2077,91.443,29,104.98,35.59,2,0,59,0
5006903,Porto Murtinho,0,,MS,Mato Grosso do Sul,4043,12780,17505,90.987,29,105.15,29.43,1192,1129,0,0
5000203,Água Clara,0,,MS,Mato Grosso do Sul,5613,16673,7782,93.945,29,102.5,20.73,48,0,0,0
5000609,Amambai,0,,MS,Mato Grosso do Sul,13629,39042,4194,91.533,29,96.36,35.39,9932,9285,0,0
